"Gene Region","UCSC Region","nCpG","Sign","medQval","medBetaCoef","medDelta","cpgs","denominator"
"SKI Body","SKI S_Shelf","7","+ + + - + + +","0.00133842205187229","-0.618787314813529","0.0921880525542387","cg02058628;cg19404444;cg02050917;cg24481594;cg01101178;cg06521970;cg23022809","123"
"LOC100129534 Body","LOC100129534 OpenSea","1","-","0.00863835116381188","0.433185900339598","-0.0291255852166753","cg13805052","3"
"MORN1 Body","MORN1 OpenSea","1","-","0.00863835116381188","0.433185900339598","-0.0291255852166753","cg13805052","111"
"MMEL1 Body","MMEL1 OpenSea","1","+","0.00723986155766339","-0.606641858259654","0.111041230828351","cg17843887","33"
"PRDM16 Body","PRDM16 Island","14","+ + + + + + + + + + + + + +","0.00549644516623157","-0.565809217335491","0.0356864026902815","cg14516243;cg23609682;cg22720392;cg21412629;cg11672390;cg00663575;cg11113363;cg15491247;cg26004086;cg01101873;cg10573643;cg10588310;cg11210422;cg04483711","608"
"MEGF6 Body","MEGF6 S_Shelf","3","+ - +","0.00547579337183222","-0.387176654244561","0.0358803130379421","cg20263392;cg18288161;cg20000908","129"
"TP73 Body","TP73 N_Shore","1","+","0.00577111868061714","-0.558021968114762","0.0463639484605194","cg04523603","79"
"KIAA0495 1stExon","KIAA0495 Island","1","+","0.00293325045922668","-1.15029898519992","0.0880599655321539","cg10634619","8"
"KIAA0495 5'UTR","KIAA0495 Island","1","+","0.00293325045922668","-1.15029898519992","0.0880599655321539","cg10634619","6"
"LRRC47 Body","LRRC47 S_Shore","3","- - +","0.00201538243143927","0.626044353198121","-0.076774120058397","cg18436788;cg23277830;cg11522905","21"
"KIAA0562 Body","KIAA0562 OpenSea","1","+","0.00442031416547431","-0.501331304488092","0.0525188676876495","cg21402968","15"
"KCNAB2 5'UTR","KCNAB2 OpenSea","1","+","0.00433830190577587","-0.490489591393207","0.0741103868507162","cg25220769","12"
"HES3 1stExon","HES3 N_Shore","1","+","0.00714803262522169","-0.71858414117398","0.103901745287713","cg22699074","1"
"HES3 5'UTR","HES3 N_Shore","1","+","0.00714803262522169","-0.71858414117398","0.103901745287713","cg22699074","3"
"ACOT7 Body","ACOT7 OpenSea","1","+","0.00997827292713078","-0.840069896886921","0.140752046975534","cg10976772","78"
"TAS1R1 3'UTR","TAS1R1 Island","1","+","0.00814287648784428","-0.598105302728404","0.0925066614938393","cg07565540","4"
"ZBTB48 TSS1500","ZBTB48 Island","1","+","0.00814287648784428","-0.598105302728404","0.0925066614938393","cg07565540","4"
"KLHL21 TSS1500","KLHL21 S_Shore","2","+ +","0.00398268227059596","-1.18080232382124","0.216784081612483","cg09159285;cg19884658","8"
"DNAJC11 TSS1500","DNAJC11 S_Shore","1","+","0.00620826722191144","-0.686614182724708","0.118904179799825","cg22709811","5"
"CAMTA1 Body","CAMTA1 N_Shelf","3","- - -","0.0031575808851842","0.613738480277577","-0.0653946687799823","cg26413691;cg24579970;cg08941669","234"
"PER3 Body","PER3 OpenSea","1","-","0.00388467098857877","0.631426983669985","-0.0940428639876264","cg11978441","15"
"SLC45A1 3'UTR","SLC45A1 S_Shore","1","-","0.00349658275907487","0.632781102903266","0.00448926229916002","cg15554087","1"
"RERE 5'UTR","RERE OpenSea","1","+","0.00561968351385692","-0.61185251342708","0.141906254430211","cg13081009","58"
"RERE Body","RERE OpenSea","3","+ - -","0.00561968351385692","0.490133920636615","-0.0793393014978956","cg13081009;cg11516004;cg21774136","76"
"SLC2A5 Body","SLC2A5 OpenSea","1","-","0.0035542037388701","0.665725241948322","-0.0661200986786379","cg13869484","31"
"MIR34A TSS200","MIR34A OpenSea","1","+","0.00581283767493818","-0.535477549559349","0.0810313352144739","cg00909706","1"
"H6PD TSS1500","H6PD N_Shore","1","+","0.00484924663692336","-0.807500330267195","0.10128558344059","cg25103337","5"
"SPSB1 TSS1500","SPSB1 OpenSea","2","+ +","0.00164686595211696","-0.737763724803467","0.137925448661556","cg22493877;cg09468328","3"
"SPSB1 5'UTR","SPSB1 OpenSea","1","+","0.0013068562699889","-0.866979559854756","0.0404194507816764","cg12221621","31"
"TMEM201 TSS1500","TMEM201 N_Shore","1","+","0.00128750125658781","-0.711573021290259","0.123591673854305","cg26114570","5"
"TMEM201 Body","TMEM201 OpenSea","1","+","0.00170331394251046","-0.472023383455028","0.0732540620163627","cg13385114","28"
"PIK3CD 3'UTR","PIK3CD N_Shore","3","- - -","0.00223898519449355","0.915951793948476","-0.106781046962716","cg07499142;cg12033075;cg07970040","7"
"CLSTN1 3'UTR","CLSTN1 N_Shore","2","- -","0.00152930179106911","1.12501409457311","-0.144727942922254","cg07970040;cg04340595","6"
"CLSTN1 TSS200","CLSTN1 Island","5","+ + + + +","0.000397264921287778","-0.726332545248656","0.0908690755424856","cg27399414;cg24551579;cg26985289;cg23616100;cg00123104","8"
"CASZ1 Body","CASZ1 OpenSea","1","+","0.00940468653423525","-0.630389679341305","0.040756748197449","cg16926809","94"
"C1orf127 Body","C1orf127 OpenSea","2","- +","0.00469522970427243","0.270410033883882","-0.0462632641528521","cg21157465;cg08648047","17"
"PTCHD2 TSS200","PTCHD2 Island","1","+","0.000390228446987102","-0.813118507904208","0.138108693370059","cg15658487","1"
"PTCHD2 Body","PTCHD2 N_Shore","1","-","0.00316872542686566","0.458260573020368","-0.0479075953537996","cg09790470","20"
"FBXO44 Body","FBXO44 S_Shelf","1","+","0.00935032413689085","-0.328350621847477","0.0599071281015411","cg11069276","5"
"AGTRAP TSS1500","AGTRAP N_Shore","4","+ + + +","0.00353406441733504","-1.01041578451016","0.182411074642484","cg04444949;cg08425760;cg08945450;cg21826784","5"
"NPPB TSS1500","NPPB Island","1","+","0.00228717791925193","-0.864674845548713","0.119533010771783","cg04779720","6"
"TNFRSF8 TSS200","TNFRSF8 N_Shore","1","+","0.00490666066874192","-0.971080912907657","0.0471490016194172","cg01966612","5"
"TNFRSF1B Body","TNFRSF1B Island","2","+ -","0.00302260464274699","-0.276866505629528","0.0358539666244325","cg22337605;cg16513984","24"
"VPS13D Body","VPS13D OpenSea","2","+ -","0.00415294472681931","-0.15188116421406","0.0492605064485435","cg15929771;cg18026955","46"
"DHRS3 Body","DHRS3 OpenSea","5","+ + + + +","0.00422796711352713","-0.905759292823643","0.139040510788412","cg24541835;cg04339837;cg02086195;cg09517873;cg03546360","21"
"PRDM2 5'UTR","PRDM2 S_Shelf","1","-","0.00199125745399183","0.767523223120904","-0.173805189110505","cg08425678","25"
"PRDM2 Body","PRDM2 OpenSea","1","+","0.00902866833332869","-0.559911160373842","0.0123491099023466","cg27544405","39"
"FHAD1 Body","FHAD1 OpenSea","2","+ -","0.00513960464007444","-0.00287944305885052","0.0243438276551023","cg09252331;cg04850284","23"
"PLEKHM2 Body","PLEKHM2 OpenSea","1","+","0.00417453007183417","-0.473111246697044","0.0608052597538244","cg09873284","24"
"SPATA21 1stExon","SPATA21 N_Shelf","1","-","0.00570858047964295","0.4282941387146","-0.056990189094642","cg26845278","1"
"SPATA21 5'UTR","SPATA21 N_Shelf","1","-","0.00570858047964295","0.4282941387146","-0.056990189094642","cg26845278","2"
"NBPF1 5'UTR","NBPF1 N_Shore","1","+","0.00021716901604211","-1.2158771602274","0.0956801742147246","cg13384150","6"
"RCC2 Body","RCC2 S_Shore","1","+","0.000846729221302972","-0.578963032655588","0.0212800860493652","cg15995125","32"
"ARHGEF10L TSS1500","ARHGEF10L N_Shore","2","+ -","0.00737924611451994","0.031385172880276","0.0107532755640278","cg21908208;cg27172331","9"
"ARHGEF10L 5'UTR","ARHGEF10L OpenSea","1","-","0.00654392650024033","0.468992832628914","-0.0222429632067158","cg27172331","22"
"PAX7 5'UTR","PAX7 Island","1","+","0.00359328194872357","-0.976531968993468","0.0522408357059675","cg13969001","2"
"PAX7 1stExon","PAX7 Island","1","+","0.00359328194872357","-0.976531968993468","0.0522408357059675","cg13969001","2"
"PAX7 Body","PAX7 Island","7","+ + + + + + -","0.00363605221706267","-0.695925092700886","0.0969543307245064","cg08126203;cg25769417;cg01797257;cg24662698;cg08171206;cg22157239;cg02856716","72"
"IFFO2 Body","IFFO2 OpenSea","1","+","0.00103938940902431","-0.93615993858344","0.052061698981802","cg15675456","24"
"UBR4 Body","UBR4 OpenSea","1","-","0.00768002846039988","0.597882787715518","-0.131235455405597","cg20432732","26"
"NBL1 TSS1500","NBL1 N_Shore","1","+","0.00873034978436092","-0.706705712787835","0.0747666955453531","cg21057046","6"
"NBL1 Body","NBL1 N_Shore","2","+ +","0.00735016138737215","-0.629077160916506","0.0941198428949596","cg21057046;cg18923740","16"
"NBL1 5'UTR","NBL1 Island","1","+","0.00596997299038338","-0.551448609045176","0.113472990244566","cg18923740","8"
"PLA2G5 TSS200","PLA2G5 OpenSea","1","+","0.00811661974570811","-0.689851455580749","0.17117565919872","cg19276110","3"
"CDA Body","CDA OpenSea","1","-","0.00411286276809703","0.771042859448077","-0.0805437151389761","cg17900103","3"
"PINK1 TSS1500","PINK1 N_Shore","1","-","0.00985968055513844","0.449451190533358","-0.0318278856871251","cg20694964","5"
"PINK1 Body","PINK1 S_Shore","1","+","0.0021363067088469","-0.768238611137544","0.11446836422975","cg24455365","7"
"ECE1 Body","ECE1 S_Shelf","1","-","0.000460260060297931","0.891476677735952","-0.147815075840714","cg07996532","54"
"LDLRAD2 Body","LDLRAD2 Island","1","+","0.00688010444294225","-0.383649422045911","0.0330298044690533","cg17065852","10"
"HSPG2 Body","HSPG2 N_Shore","2","+ +","0.00266290406482485","-0.757110139491946","0.09890830057527","cg03977084;cg13357518","55"
"HSPG2 TSS1500","HSPG2 OpenSea","1","+","0.00489840632020794","-0.454704597805533","0.0660765214788275","cg01794853","4"
"EPHB2 Body","EPHB2 OpenSea","2","+ -","0.00247874503074361","-0.0847471971446365","0.051562748473946","cg20149170;cg04914283","40"
"C1orf213 3'UTR","C1orf213 S_Shore","1","+","0.00258548076831789","-0.823185324458977","0.0870878051800127","cg15598244","9"
"C1orf213 Body","C1orf213 S_Shore","1","+","0.00258548076831789","-0.823185324458977","0.0870878051800127","cg15598244","9"
"ZNF436 TSS200","ZNF436 S_Shore","1","+","0.00258548076831789","-0.823185324458977","0.0870878051800127","cg15598244","6"
"C1orf213 1stExon","C1orf213 S_Shore","1","+","0.00258548076831789","-0.823185324458977","0.0870878051800127","cg15598244","13"
"TCEA3 Body","TCEA3 OpenSea","1","+","0.000436982583781929","-0.932423980539169","0.160342721235074","cg16555909","8"
"ASAP3 Body","ASAP3 OpenSea","1","-","0.00290655099280929","0.780051528512317","-0.119461331218194","cg10805970","18"
"CNR2 5'UTR","CNR2 N_Shelf","2","- -","0.00405422428008985","0.81220088374823","-0.120915509623865","cg05524740;cg24672624","11"
"CNR2 1stExon","CNR2 OpenSea","1","-","0.00274089090729239","0.884502043485999","-0.118467285082028","cg24672624","1"
"CNR2 TSS200","CNR2 OpenSea","1","-","0.00511775367405146","0.506632366326238","-0.0972651116136899","cg16679650","3"
"CNR2 TSS1500","CNR2 OpenSea","1","-","0.00727238078423748","0.568050899023736","-0.0842113226586909","cg26151675","1"
"GRHL3 Body","GRHL3 OpenSea","1","-","0.000517971386235863","0.908646137218003","-0.140105096281991","cg16734875","16"
"RCAN3 5'UTR","RCAN3 S_Shelf","1","-","0.00068649623347816","0.64231570501488","-0.125401347152514","cg15519096","7"
"RCAN3 3'UTR","RCAN3 Island","1","-","0.00469325660906667","1.11742626029078","-0.182912672347248","cg25140783","4"
"C1orf130 5'UTR","C1orf130 OpenSea","1","+","0.000662226773616949","-1.07238740062896","0.193719652488588","cg03655701","6"
"RUNX3 TSS1500","RUNX3 Island","1","+","0.00382990675146179","-0.81299070171521","0.0481134993910342","cg26672794","35"
"RUNX3 Body","RUNX3 Island","1","+","0.00382990675146179","-0.81299070171521","0.0481134993910342","cg26672794","72"
"RUNX3 1stExon","RUNX3 OpenSea","3","- - -","0.00496166071551417","0.758102206099112","-0.114929150007706","cg07236781;cg13461622;cg06640822","5"
"RUNX3 5'UTR","RUNX3 OpenSea","2","- -","0.00626812410996691","0.711811067310327","-0.0909705108106087","cg13461622;cg06640822","4"
"RUNX3 TSS200","RUNX3 OpenSea","2","- -","0.00536052140426638","0.737569688513507","-0.113439161121843","cg04554131;cg27058497","5"
"LDLRAP1 Body","LDLRAP1 OpenSea","1","-","0.00947796354584861","0.627706468655221","-0.126458646003306","cg22442430","11"
"GRRP1 Body","GRRP1 Island","1","+","0.00465062600337008","-0.854079018874082","0.0972587785082497","cg01568347","4"
"ZNF593 TSS1500","ZNF593 N_Shore","1","+","0.0032599959909915","-0.555021349945459","0.111581225799516","cg08729059","5"
"ZNF593 TSS200","ZNF593 Island","1","-","0.00184916749715763","0.958160757800839","0.0818533041400581","cg16003040","6"
"UBXN11 Body","UBXN11 OpenSea","1","-","0.00707618873712783","0.595915308216026","-0.126805455782041","cg01905489","9"
"UBXN11 1stExon","UBXN11 OpenSea","1","-","0.00963018772251789","0.821735804648752","-0.106569439905725","cg19743891","4"
"UBXN11 5'UTR","UBXN11 OpenSea","1","-","0.00963018772251789","0.821735804648752","-0.106569439905725","cg19743891","23"
"CD52 Body","CD52 OpenSea","1","-","0.00963018772251789","0.821735804648752","-0.106569439905725","cg19743891","4"
"CD52 3'UTR","CD52 OpenSea","1","-","0.0080958993823613","0.585594860522434","-0.0420738204088356","cg27430637","1"
"LIN28 Body","LIN28 Island","1","+","0.00775343674517623","-1.19551634390754","0.215683107307906","cg03980745","6"
"RPS6KA1 Body","RPS6KA1 S_Shelf","1","-","0.00311233879657465","0.587166032401995","-0.0795224506303639","cg08034986","20"
"MAP3K6 TSS200","MAP3K6 S_Shore","1","+","0.0029399362145024","-0.629269308116938","0.0869926243804164","cg20651453","4"
"MAP3K6 TSS1500","MAP3K6 S_Shore","1","+","0.00741408428478766","-0.606018719740685","0.121356214723574","cg07551364","5"
"GPR3 TSS1500","GPR3 N_Shore","1","+","0.00652537062403631","-0.650066739049525","0.197275137061621","cg23230486","5"
"AHDC1 5'UTR","AHDC1 N_Shore","1","+","0.000863540099379342","-1.33850188280754","0.166300238843669","cg14510299","30"
"FGR Body","FGR S_Shelf","1","-","0.00982664282258846","0.533145243532876","-0.141606489178434","cg20485084","8"
"FAM76A TSS1500","FAM76A N_Shore","1","+","0.00350652716819498","-0.47649816592399","0.110167388882575","cg02905426","4"
"SESN2 TSS1500","SESN2 N_Shore","1","+","0.00430224089803426","-0.658495789178842","0.10076764690456","cg06754224","3"
"SNORA16A TSS1500","SNORA16A S_Shore","1","-","0.00895402704657923","1.10964026779016","-0.149069762141347","cg11753765","11"
"SNHG12 TSS1500","SNHG12 S_Shore","1","-","0.00895402704657923","1.10964026779016","-0.149069762141347","cg11753765","5"
"HCRTR1 Body","HCRTR1 OpenSea","1","+","0.00775970643050997","-0.48068395411803","0.0713110073205316","cg16697620","4"
"COL16A1 3'UTR","COL16A1 OpenSea","1","-","0.00434688124984408","0.531847360487887","-0.0515603935043406","cg14161676","1"
"COL16A1 5'UTR","COL16A1 N_Shore","1","+","0.00535493589615131","-0.460672605828066","0.0769308885566398","cg02989257","4"
"COL16A1 TSS200","COL16A1 Island","1","+","0.000819004104405643","-1.04675579313718","0.0704999907200705","cg16553500","1"
"BAI2 TSS1500","BAI2 Island","1","+","0.00551899664516996","-0.658120293487857","0.0549901984335012","cg16704678","6"
"PTP4A2 5'UTR","PTP4A2 N_Shelf","1","-","0.00439290098550013","0.766635445153623","-0.099500373850833","cg11756387","4"
"PTP4A2 TSS1500","PTP4A2 S_Shore","1","-","0.00340941113495554","0.987640735866466","-0.127802384009059","cg09373727","5"
"CCDC28B 1stExon","CCDC28B Island","1","+","0.00690248958772582","-0.681476439115567","-0.0254466053310156","cg17105151","3"
"CCDC28B 5'UTR","CCDC28B Island","1","+","0.00690248958772582","-0.681476439115567","-0.0254466053310156","cg17105151","6"
"MTMR9L Body","MTMR9L S_Shore","2","+ +","0.000757501275524296","-0.973985566828594","0.143094403799727","cg07033820;cg01804679","13"
"MTMR9L TSS200","MTMR9L S_Shore","1","+","0.00343542725150291","-1.02212391197862","0.20977489606484","cg09942999","1"
"MTMR9L TSS1500","MTMR9L S_Shore","1","+","0.000916559845571025","-1.08810288577241","0.0991807335426932","cg02830936","5"
"LCK TSS1500","LCK S_Shelf","1","-","0.0011396006578784","0.728762485311964","-0.128194807973954","cg11683242","9"
"LCK 5'UTR","LCK S_Shelf","1","-","0.00372275941637726","0.708658082319766","-0.134291431792658","cg17078393","10"
"HDAC1 Body","HDAC1 OpenSea","1","-","0.00933298283185242","0.642668200931714","-0.0673458065079731","cg18857467","8"
"SYNC Body","SYNC N_Shore","1","+","0.00222784030860714","-0.911810484292648","0.179164763951654","cg11954384","7"
"ADC Body","ADC S_Shelf","1","-","0.00962922529592765","0.610748562528051","-0.116288803092634","cg14037114","3"
"ZNF362 TSS1500","ZNF362 N_Shore","1","+","0.00150386508176519","-0.917408021799192","0.0635683464066633","cg03767970","4"
"CSMD2 Body","CSMD2 OpenSea","3","- - +","0.00118169475817051","0.572425450048167","-0.0791785650769682","cg09844805;cg17904797;cg20314038","70"
"HMGB4 TSS1500","HMGB4 OpenSea","1","-","0.00454222502484855","0.7226701033545","-0.0791785650769682","cg09844805","5"
"C1orf94 TSS1500","C1orf94 S_Shore","2","+ +","0.00438591714541774","-1.07998807511756","0.100062978507889","cg01445580;cg25025247","11"
"CSMD2 TSS1500","CSMD2 S_Shore","2","+ +","0.00438591714541774","-1.07998807511756","0.100062978507889","cg01445580;cg25025247","6"
"ZMYM4 Body","ZMYM4 OpenSea","1","+","0.00670108804777341","-1.31907698967571","0.197218741460544","cg21199093","10"
"KIAA0319L Body","KIAA0319L OpenSea","1","+","0.00103985396982556","-0.660026561989618","0.113032310082024","cg15388210","12"
"NCDN TSS200","NCDN Island","1","+","0.00964865452757748","-0.990585286565473","0.0607754561853927","cg07905888","3"
"KIAA0319L TSS1500","KIAA0319L Island","1","+","0.00964865452757748","-0.990585286565473","0.0607754561853927","cg07905888","11"
"EIF2C4 TSS1500","EIF2C4 N_Shore","1","+","0.00395103907390727","-0.678262282683928","0.0783691591380297","cg24352618","4"
"EIF2C4 Body","EIF2C4 OpenSea","1","+","0.00651712081172174","-0.76316880446314","0.167747994672264","cg15084851","4"
"MAP7D1 Body","MAP7D1 Island","1","+","1.84457604938668e-05","-0.56508439676556","0.070817670592371","cg01501018","22"
"MRPS15 TSS200","MRPS15 Island","1","-","0.000673944506718026","0.543970777272497","0.0547611713107647","cg23814129","4"
"ZC3H12A TSS1500","ZC3H12A N_Shore","1","-","0.00293325045922668","0.835168699853225","-0.119313180475442","cg24635860","4"
"ZC3H12A Body","ZC3H12A S_Shelf","1","-","0.00160875109480674","0.949323243296167","-0.110834259521598","cg00859858","8"
"GNL2 5'UTR","GNL2 Island","1","+","0.00767300661820637","-0.671640538257051","0.00790674118766443","cg03884414","2"
"GNL2 1stExon","GNL2 Island","1","+","0.00767300661820637","-0.671640538257051","0.00790674118766443","cg03884414","3"
"RSPO1 1stExon","RSPO1 Island","1","+","0.00976386521292378","-0.944581386617299","0.145188684945422","cg13448605","3"
"RSPO1 5'UTR","RSPO1 Island","1","+","0.00976386521292378","-0.944581386617299","0.145188684945422","cg13448605","11"
"RSPO1 TSS1500","RSPO1 Island","2","+ +","0.00729785319817576","-0.997087100342978","0.130099959880991","cg12391690;cg03654735","6"
"MANEAL Body","MANEAL S_Shore","1","+","5.45162171563568e-05","-1.14806119759408","0.142011304312823","cg00664416","8"
"MANEAL 5'UTR","MANEAL S_Shore","1","+","5.45162171563568e-05","-1.14806119759408","0.142011304312823","cg00664416","2"
"MANEAL 1stExon","MANEAL S_Shore","1","+","5.45162171563568e-05","-1.14806119759408","0.142011304312823","cg00664416","4"
"C1orf122 3'UTR","C1orf122 S_Shore","1","+","0.00455864029205277","-0.704221689587494","0.133079574858176","cg04299080","1"
"YRDC TSS1500","YRDC S_Shore","1","+","0.00455864029205277","-0.704221689587494","0.133079574858176","cg04299080","4"
"POU3F1 3'UTR","POU3F1 Island","1","+","0.00898537463538273","-0.797046657916882","0.11883064556294","cg22821908","6"
"POU3F1 1stExon","POU3F1 Island","1","+","0.00898537463538273","-0.797046657916882","0.11883064556294","cg22821908","12"
"MACF1 Body","MACF1 N_Shore","3","+ - +","0.00620826722191144","-0.456705302420983","0.0421768662335476","cg08259526;cg24159575;cg19589131","77"
"KIAA0754 1stExon","KIAA0754 S_Shore","1","+","0.00620826722191144","-0.778249523454196","0.12979725582063","cg19589131","7"
"NT5C1A TSS1500","NT5C1A Island","1","+","0.00833841957277087","-0.720043621111338","0.159848665340494","cg01656955","5"
"MYCL1 1stExon","MYCL1 Island","1","+","0.0035542037388701","-0.812452002674247","0.163426730462936","cg04366039","4"
"MYCL1 Body","MYCL1 Island","1","+","0.0035542037388701","-0.812452002674247","0.163426730462936","cg04366039","6"
"COL9A2 Body","COL9A2 N_Shore","2","+ +","0.00286406617658959","-0.627123198089908","0.119453619190669","cg10512203;cg07367434","21"
"NFYC 5'UTR","NFYC OpenSea","1","+","0.00364356826753174","-0.852469939559006","0.144719044174991","cg16167741","12"
"KCNQ4 TSS1500","KCNQ4 N_Shore","1","+","0.00412259438545706","-0.43874679634952","0.0636290200953238","cg06885782","4"
"CITED4 TSS1500","CITED4 S_Shore","1","-","0.00822843877116807","0.699552060533504","-0.0498803961620113","cg08719289","4"
"CTPS 5'UTR","CTPS S_Shore","1","-","0.00532967813955338","0.810107619232847","-0.17050910779623","cg24141382","7"
"SCMH1 5'UTR","SCMH1 Island","1","-","0.00273638302830451","0.576010148520169","-0.0270419141322624","cg14550007","13"
"HIVEP3 Body","HIVEP3 Island","6","+ + + + + +","0.00198329352691341","-0.984942288589305","0.154736942826633","cg15482882;cg19637387;cg05388840;cg12034678;cg11177980;cg13170051","21"
"HIVEP3 1stExon","HIVEP3 S_Shore","2","+ +","0.00750029499847142","-1.13922395606265","0.166480185372252","cg25607920;cg26038582","4"
"HIVEP3 5'UTR","HIVEP3 S_Shore","2","+ +","0.00750029499847142","-1.13922395606265","0.166480185372252","cg25607920;cg26038582","58"
"RIMKLA 3'UTR","RIMKLA OpenSea","1","+","0.00953055795095783","-0.881454986885717","0.0322263637405942","cg21396630","1"
"ERMAP TSS200","ERMAP OpenSea","1","+","0.00551899664516996","-0.464245160522169","0.0392533378235853","cg08223760","7"
"ERMAP 5'UTR","ERMAP OpenSea","1","+","0.00551899664516996","-0.464245160522169","0.0392533378235853","cg08223760","14"
"SLC2A1 Body","SLC2A1 N_Shore","1","-","0.00717086036688804","0.774791518854489","-0.0843537762414269","cg00737593","20"
"TIE1 Body","TIE1 Island","1","+","0.00153039872043719","-1.23890219875773","-0.0140381450816007","cg03971454","9"
"KIAA0467 Body","KIAA0467 OpenSea","1","+","0.00253395960369458","-0.580138154361468","0.101275319969019","cg13099139","3"
"HYI Body","HYI Island","1","+","0.00147936244730547","-0.530854754048509","0.0697004130018963","cg18345219","2"
"ARTN TSS1500","ARTN N_Shore","1","-","0.00588936719828171","0.469811185325093","0.0427160012690388","cg01891209","13"
"ARTN 5'UTR","ARTN N_Shore","1","-","0.00588936719828171","0.469811185325093","0.0427160012690388","cg01891209","12"
"ARTN 1stExon","ARTN N_Shore","1","-","0.00588936719828171","0.469811185325093","0.0427160012690388","cg01891209","9"
"B4GALT2 TSS1500","B4GALT2 N_Shore","1","+","0.00924962226538772","-0.55685454348191","0.0816317506907246","cg23001650","11"
"RNF220 Body","RNF220 N_Shelf","1","-","0.00343640935410886","0.705303078852161","-0.106111266830426","cg00003858","63"
"LOC400752 TSS200","LOC400752 Island","1","-","0.00286220303899647","0.474931901572256","-0.11718200071828","cg08879403","4"
"IPP 5'UTR","IPP N_Shore","1","+","0.00493029439864583","-0.615368333781262","0.130241705224283","cg17156633","7"
"LRRC41 Body","LRRC41 N_Shore","2","+ +","0.0037304028570205","-0.518724914663121","0.081497936822603","cg22228439;cg22509164","12"
"MOBKL2C Body","MOBKL2C S_Shore","1","+","0.00949458423501395","-1.15304020890763","0.0837721272857974","cg06760830","6"
"MOBKL2C 5'UTR","MOBKL2C S_Shore","1","+","0.00949458423501395","-1.15304020890763","0.0837721272857974","cg06760830","7"
"MOBKL2C TSS1500","MOBKL2C S_Shore","1","+","0.000518937448779132","-1.37368437176112","0.158509097758279","cg05376185","9"
"CYP4X1 1stExon","CYP4X1 Island","1","+","0.0065328521220138","-1.25683345377199","0.0931574247056797","cg26558485","4"
"CYP4X1 5'UTR","CYP4X1 Island","1","+","0.0065328521220138","-1.25683345377199","0.0931574247056797","cg26558485","2"
"SKINTL Body","SKINTL OpenSea","1","-","0.00541832562943207","0.708997732694893","-0.122665350816154","cg00983803","2"
"SLC5A9 Body","SLC5A9 OpenSea","1","-","0.00873330596654095","0.529867638674233","-0.0388804066762555","cg25469314","4"
"SPATA6 Body","SPATA6 N_Shore","1","+","0.00376069617072202","-0.677554019905561","0.0512267596117204","cg16965552","5"
"DMRTA2 TSS200","DMRTA2 Island","1","+","0.00448761393811457","-1.27795234354448","0.15098707709265","cg00152008","3"
"RNF11 TSS1500","RNF11 N_Shore","1","-","0.00787277860522702","1.15310726697183","0.0399558548672978","cg00101118","4"
"ZFYVE9 5'UTR","ZFYVE9 S_Shore","1","+","0.00906601533897406","-0.519002442480008","0.0623098882902408","cg01172972","6"
"FAM159A TSS200","FAM159A Island","1","+","0.00218430435020134","-1.00150788066289","0.175133342258247","cg11279444","2"
"FAM159A Body","FAM159A S_Shelf","1","-","0.000528244757942614","1.04481496813276","-0.116116066565072","cg12527995","2"
