Platform Type,Center,Platform,Level,Sample,Barcode,File Name
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-S3-AA12-01,TCGA-S3-AA12-01A-11D-A41Q-05,3999997079_R04C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AC-A8OS-01,TCGA-AC-A8OS-01A-12D-A41Q-05,3999997079_R05C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AC-A8OS-01,TCGA-AC-A8OS-01A-12D-A41Q-05,3999997079_R05C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-C8-A9FZ-01,TCGA-C8-A9FZ-01A-11D-A41Q-05,3999997079_R06C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-C8-A9FZ-01,TCGA-C8-A9FZ-01A-11D-A41Q-05,3999997079_R06C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0SV-01,TCGA-A2-A0SV-01A-11D-A10P-05,6004791004_R01C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0SV-01,TCGA-A2-A0SV-01A-11D-A10P-05,6004791004_R01C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RL-01,TCGA-B6-A0RL-01A-11D-A10P-05,6004791004_R01C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RL-01,TCGA-B6-A0RL-01A-11D-A10P-05,6004791004_R01C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AO-A0JG-01,TCGA-AO-A0JG-01A-31D-A10P-05,6004791004_R02C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AO-A0JG-01,TCGA-AO-A0JG-01A-31D-A10P-05,6004791004_R02C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RV-01,TCGA-B6-A0RV-01A-11D-A10P-05,6004791004_R02C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RV-01,TCGA-B6-A0RV-01A-11D-A10P-05,6004791004_R02C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T6-01,TCGA-A2-A0T6-01A-11D-A10P-05,6004791004_R03C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T6-01,TCGA-A2-A0T6-01A-11D-A10P-05,6004791004_R03C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0SY-01,TCGA-A2-A0SY-01A-31D-A10P-05,6004791004_R03C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0SY-01,TCGA-A2-A0SY-01A-31D-A10P-05,6004791004_R03C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0DQ-01,TCGA-BH-A0DQ-01A-11D-A10P-05,6004791004_R04C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0DQ-01,TCGA-BH-A0DQ-01A-11D-A10P-05,6004791004_R04C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T2-01,TCGA-A2-A0T2-01A-11D-A10P-05,6004791004_R04C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T2-01,TCGA-A2-A0T2-01A-11D-A10P-05,6004791004_R04C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RS-01,TCGA-B6-A0RS-01A-11D-A10P-05,6004791004_R05C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RS-01,TCGA-B6-A0RS-01A-11D-A10P-05,6004791004_R05C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SP-01,TCGA-A1-A0SP-01A-11D-A10P-05,6004791004_R05C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SP-01,TCGA-A1-A0SP-01A-11D-A10P-05,6004791004_R05C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SH-01,TCGA-A1-A0SH-01A-11D-A10P-05,6004791004_R06C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SH-01,TCGA-A1-A0SH-01A-11D-A10P-05,6004791004_R06C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A8-A075-01,TCGA-A8-A075-01A-11D-A10P-05,6004791004_R06C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A8-A075-01,TCGA-A8-A075-01A-11D-A10P-05,6004791004_R06C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0SX-01,TCGA-A2-A0SX-01A-12D-A10P-05,6004791006_R01C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0SX-01,TCGA-A2-A0SX-01A-12D-A10P-05,6004791006_R01C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0ST-01,TCGA-A2-A0ST-01A-12D-A10P-05,6004791006_R01C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0ST-01,TCGA-A2-A0ST-01A-12D-A10P-05,6004791006_R01C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SE-01,TCGA-A1-A0SE-01A-11D-A10P-05,6004791006_R02C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SE-01,TCGA-A1-A0SE-01A-11D-A10P-05,6004791006_R02C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TX-01,TCGA-AR-A0TX-01A-11D-A10P-05,6004791006_R02C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TX-01,TCGA-AR-A0TX-01A-11D-A10P-05,6004791006_R02C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TQ-01,TCGA-AR-A0TQ-01A-11D-A10P-05,6004791006_R03C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TQ-01,TCGA-AR-A0TQ-01A-11D-A10P-05,6004791006_R03C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0HP-01,TCGA-BH-A0HP-01A-12D-A10P-05,6004791006_R03C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0HP-01,TCGA-BH-A0HP-01A-12D-A10P-05,6004791006_R03C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0BC-01,TCGA-BH-A0BC-01A-22D-A10P-05,6004791006_R04C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0BC-01,TCGA-BH-A0BC-01A-22D-A10P-05,6004791006_R04C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SJ-01,TCGA-A1-A0SJ-01A-11D-A10P-05,6004791006_R04C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SJ-01,TCGA-A1-A0SJ-01A-11D-A10P-05,6004791006_R04C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RM-01,TCGA-B6-A0RM-01A-11D-A10P-05,6004791006_R05C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RM-01,TCGA-B6-A0RM-01A-11D-A10P-05,6004791006_R05C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0EN-01,TCGA-A2-A0EN-01A-13D-A10P-05,6004791006_R05C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0EN-01,TCGA-A2-A0EN-01A-13D-A10P-05,6004791006_R05C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TV-01,TCGA-AR-A0TV-01A-21D-A10P-05,6004791006_R06C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TV-01,TCGA-AR-A0TV-01A-21D-A10P-05,6004791006_R06C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SM-01,TCGA-A1-A0SM-01A-11D-A10P-05,6004791006_R06C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SM-01,TCGA-A1-A0SM-01A-11D-A10P-05,6004791006_R06C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T5-01,TCGA-A2-A0T5-01A-21D-A10P-05,6004791010_R01C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T5-01,TCGA-A2-A0T5-01A-21D-A10P-05,6004791010_R01C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0SW-01,TCGA-A2-A0SW-01A-11D-A10P-05,6004791010_R01C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0SW-01,TCGA-A2-A0SW-01A-11D-A10P-05,6004791010_R01C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RU-01,TCGA-B6-A0RU-01A-11D-A10P-05,6004791010_R02C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RU-01,TCGA-B6-A0RU-01A-11D-A10P-05,6004791010_R02C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SK-01,TCGA-A1-A0SK-01A-12D-A10P-05,6004791010_R02C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SK-01,TCGA-A1-A0SK-01A-12D-A10P-05,6004791010_R02C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TZ-01,TCGA-AR-A0TZ-01A-12D-A10P-05,6004791010_R03C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TZ-01,TCGA-AR-A0TZ-01A-12D-A10P-05,6004791010_R03C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TT-01,TCGA-AR-A0TT-01A-31D-A10P-05,6004791010_R03C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TT-01,TCGA-AR-A0TT-01A-31D-A10P-05,6004791010_R03C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RT-01,TCGA-B6-A0RT-01A-21D-A10P-05,6004791010_R04C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RT-01,TCGA-B6-A0RT-01A-21D-A10P-05,6004791010_R04C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RP-01,TCGA-B6-A0RP-01A-21D-A10P-05,6004791010_R04C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RP-01,TCGA-B6-A0RP-01A-21D-A10P-05,6004791010_R04C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RN-01,TCGA-B6-A0RN-01A-12D-A10P-05,6004791010_R05C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RN-01,TCGA-B6-A0RN-01A-12D-A10P-05,6004791010_R05C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0HI-01,TCGA-BH-A0HI-01A-11D-A10P-05,6004791010_R05C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0HI-01,TCGA-BH-A0HI-01A-11D-A10P-05,6004791010_R05C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T7-01,TCGA-A2-A0T7-01A-21D-A10P-05,6004791010_R06C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T7-01,TCGA-A2-A0T7-01A-21D-A10P-05,6004791010_R06C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0DH-01,TCGA-BH-A0DH-01A-11D-A10P-05,6004791010_R06C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0DH-01,TCGA-BH-A0DH-01A-11D-A10P-05,6004791010_R06C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0HN-01,TCGA-BH-A0HN-01A-11D-A10P-05,6004791020_R01C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0HN-01,TCGA-BH-A0HN-01A-11D-A10P-05,6004791020_R01C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T1-01,TCGA-A2-A0T1-01A-21D-A10P-05,6004791020_R01C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T1-01,TCGA-A2-A0T1-01A-21D-A10P-05,6004791020_R01C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TP-01,TCGA-AR-A0TP-01A-11D-A10P-05,6004791020_R02C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TP-01,TCGA-AR-A0TP-01A-11D-A10P-05,6004791020_R02C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SO-01,TCGA-A1-A0SO-01A-22D-A10P-05,6004791020_R02C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A1-A0SO-01,TCGA-A1-A0SO-01A-22D-A10P-05,6004791020_R02C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T4-01,TCGA-A2-A0T4-01A-31D-A10P-05,6004791020_R03C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T4-01,TCGA-A2-A0T4-01A-31D-A10P-05,6004791020_R03C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RO-01,TCGA-B6-A0RO-01A-22D-A10P-05,6004791020_R03C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0RO-01,TCGA-B6-A0RO-01A-22D-A10P-05,6004791020_R03C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TR-01,TCGA-AR-A0TR-01A-11D-A10P-05,6004791020_R04C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TR-01,TCGA-AR-A0TR-01A-11D-A10P-05,6004791020_R04C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TW-01,TCGA-AR-A0TW-01A-11D-A10P-05,6004791020_R04C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AR-A0TW-01,TCGA-AR-A0TW-01A-11D-A10P-05,6004791020_R04C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0SU-01,TCGA-A2-A0SU-01A-11D-A10P-05,6004791020_R05C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0SU-01,TCGA-A2-A0SU-01A-11D-A10P-05,6004791020_R05C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T0-01,TCGA-A2-A0T0-01A-22D-A10P-05,6004791020_R05C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0T0-01,TCGA-A2-A0T0-01A-22D-A10P-05,6004791020_R05C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0RX-01,TCGA-BH-A0RX-01A-21D-A10P-05,6004791020_R06C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0RX-01,TCGA-BH-A0RX-01A-21D-A10P-05,6004791020_R06C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0YL-01,TCGA-A2-A0YL-01A-21D-A10A-05,6005486005_R01C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0YL-01,TCGA-A2-A0YL-01A-21D-A10A-05,6005486005_R01C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0YG-01,TCGA-A2-A0YG-01A-21D-A10A-05,6005486005_R01C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0YG-01,TCGA-A2-A0YG-01A-21D-A10A-05,6005486005_R01C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AN-A0XN-01,TCGA-AN-A0XN-01A-21D-A10A-05,6005486005_R02C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AN-A0XN-01,TCGA-AN-A0XN-01A-21D-A10A-05,6005486005_R02C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AN-A0XW-01,TCGA-AN-A0XW-01A-11D-A10A-05,6005486005_R02C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AN-A0XW-01,TCGA-AN-A0XW-01A-11D-A10A-05,6005486005_R02C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0YM-01,TCGA-A2-A0YM-01A-11D-A10A-05,6005486005_R03C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0YM-01,TCGA-A2-A0YM-01A-11D-A10A-05,6005486005_R03C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0YK-01,TCGA-A2-A0YK-01A-22D-A10A-05,6005486005_R03C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0YK-01,TCGA-A2-A0YK-01A-22D-A10A-05,6005486005_R03C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0W4-01,TCGA-BH-A0W4-01A-11D-A10A-05,6005486005_R04C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0W4-01,TCGA-BH-A0W4-01A-11D-A10A-05,6005486005_R04C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A04R-01,TCGA-A2-A04R-01A-41D-A10A-05,6005486005_R04C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A04R-01,TCGA-A2-A04R-01A-41D-A10A-05,6005486005_R04C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0WZ-01,TCGA-B6-A0WZ-01A-11D-A10A-05,6005486005_R05C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0WZ-01,TCGA-B6-A0WZ-01A-11D-A10A-05,6005486005_R05C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0WV-01,TCGA-B6-A0WV-01A-11D-A10A-05,6005486005_R05C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-B6-A0WV-01,TCGA-B6-A0WV-01A-11D-A10A-05,6005486005_R05C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0YH-01,TCGA-A2-A0YH-01A-11D-A10A-05,6005486005_R06C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0YH-01,TCGA-A2-A0YH-01A-11D-A10A-05,6005486005_R06C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0WA-01,TCGA-BH-A0WA-01A-11D-A10A-05,6005486005_R06C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0WA-01,TCGA-BH-A0WA-01A-11D-A10A-05,6005486005_R06C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0BA-11,TCGA-BH-A0BA-11A-22D-A10Q-05,6005486011_R01C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0BA-11,TCGA-BH-A0BA-11A-22D-A10Q-05,6005486011_R01C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0E1-11,TCGA-BH-A0E1-11A-13D-A10Q-05,6005486011_R01C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0E1-11,TCGA-BH-A0E1-11A-13D-A10Q-05,6005486011_R01C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0DZ-11,TCGA-BH-A0DZ-11A-22D-A10Q-05,6005486011_R02C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0DZ-11,TCGA-BH-A0DZ-11A-22D-A10Q-05,6005486011_R02C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A7-A0DC-11,TCGA-A7-A0DC-11A-41D-A10Q-05,6005486011_R02C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A7-A0DC-11,TCGA-A7-A0DC-11A-41D-A10Q-05,6005486011_R02C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0B3-11,TCGA-BH-A0B3-11B-21D-A10Q-05,6005486011_R03C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0B3-11,TCGA-BH-A0B3-11B-21D-A10Q-05,6005486011_R03C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0AY-11,TCGA-BH-A0AY-11A-23D-A10Q-05,6005486011_R03C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0AY-11,TCGA-BH-A0AY-11A-23D-A10Q-05,6005486011_R03C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0BJ-11,TCGA-BH-A0BJ-11A-23D-A10Q-05,6005486011_R04C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0BJ-11,TCGA-BH-A0BJ-11A-23D-A10Q-05,6005486011_R04C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0HK-11,TCGA-BH-A0HK-11A-11D-A10Q-05,6005486011_R04C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0HK-11,TCGA-BH-A0HK-11A-11D-A10Q-05,6005486011_R04C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0DP-11,TCGA-BH-A0DP-11A-12D-A10Q-05,6005486011_R05C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0DP-11,TCGA-BH-A0DP-11A-12D-A10Q-05,6005486011_R05C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0C0-11,TCGA-BH-A0C0-11A-21D-A10Q-05,6005486011_R05C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0C0-11,TCGA-BH-A0C0-11A-21D-A10Q-05,6005486011_R05C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0E0-11,TCGA-BH-A0E0-11A-13D-A10Q-05,6005486011_R06C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-BH-A0E0-11,TCGA-BH-A0E0-11A-13D-A10Q-05,6005486011_R06C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A7-A0CH-11,TCGA-A7-A0CH-11A-32D-A10Q-05,6005486011_R06C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A7-A0CH-11,TCGA-A7-A0CH-11A-32D-A10Q-05,6005486011_R06C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-E2-A10C-01,TCGA-E2-A10C-01A-21D-A10N-05,6005486012_R01C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-E2-A10C-01,TCGA-E2-A10C-01A-21D-A10N-05,6005486012_R01C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AQ-A04H-01,TCGA-AQ-A04H-01B-11D-A10N-05,6005486012_R02C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AQ-A04H-01,TCGA-AQ-A04H-01B-11D-A10N-05,6005486012_R02C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AO-A03N-01,TCGA-AO-A03N-01B-11D-A10N-05,6005486012_R02C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-AO-A03N-01,TCGA-AO-A03N-01B-11D-A10N-05,6005486012_R02C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0YI-01,TCGA-A2-A0YI-01A-31D-A10N-05,6005486012_R03C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-A2-A0YI-01,TCGA-A2-A0YI-01A-31D-A10N-05,6005486012_R03C01_Red.idat
